job_id,resume_id,rank,similarity_score,skill_match_percent,missing_skills
job_0,18159866.pdf,1,0.0522626036913178,100.0,[]
job_0,12334140.pdf,2,0.0395826627355254,100.0,[]
job_0,18067556.pdf,3,0.0393847251116956,100.0,[]
job_0,12763627.pdf,4,0.0346675659803163,100.0,[]
job_0,13405733.pdf,5,0.0342203509801156,100.0,[]
job_1,13405733.pdf,1,0.0644296514998624,45.45,"['django', 'unit testing', 'flask', 'linux', 'api development', 'ux']"
job_1,17641670.pdf,2,0.0539419929760804,27.27,"['django', 'unit testing', 'sql', 'flask', 'linux', 'api development', 'ux', 'python']"
job_1,13385306.pdf,3,0.0466427242304546,36.36,"['django', 'unit testing', 'flask', 'linux', 'api development', 'ux', 'python']"
job_1,16186411.pdf,4,0.0460910546158876,36.36,"['django', 'unit testing', 'flask', 'linux', 'api development', 'ux', 'python']"
job_1,18159866.pdf,5,0.044961821857038,27.27,"['django', 'unit testing', 'sql', 'flask', 'linux', 'api development', 'ux', 'python']"
job_2,18067556.pdf,1,0.1022800221386653,45.45,"['tensorflow', 'pytorch', 'deep learning', 'java', 'machine learning', 'spark']"
job_2,13477922.pdf,2,0.0900859938339684,27.27,"['tensorflow', 'go', 'pytorch', 'deep learning', 'java', 'python', 'machine learning', 'spark']"
job_2,13405733.pdf,3,0.0876614110603796,45.45,"['tensorflow', 'pytorch', 'deep learning', 'java', 'machine learning', 'spark']"
job_2,16899268.pdf,4,0.0835019594702079,36.36,"['tensorflow', 'pytorch', 'deep learning', 'java', 'python', 'machine learning', 'spark']"
job_2,16186411.pdf,5,0.081912978970316,45.45,"['tensorflow', 'pytorch', 'deep learning', 'python', 'machine learning', 'spark']"
job_3,18159866.pdf,1,0.1056760210015521,100.0,[]
job_3,15802627.pdf,2,0.0916657400625422,75.0,['excel']
job_3,17641670.pdf,3,0.0881621242052509,100.0,[]
job_3,16186411.pdf,4,0.0868278249153747,100.0,[]
job_3,13385306.pdf,5,0.0792755953400849,75.0,['excel']
job_4,16899268.pdf,1,0.1648747591900096,23.53,"['scalability', 'angular', 'vue', 'git', 'javascript', 'html', 'java', 'scala', 'ux', 'excel', 'react', 'agile', 'css']"
job_4,18159866.pdf,2,0.14772143461193,35.29,"['scalability', 'angular', 'vue', 'git', 'javascript', 'html', 'java', 'ux', 'react', 'agile', 'css']"
job_4,13405733.pdf,3,0.1310366965363373,41.18,"['scalability', 'angular', 'vue', 'javascript', 'html', 'java', 'scala', 'ux', 'react', 'css']"
job_4,16186411.pdf,4,0.1301591328450637,58.82,"['scalability', 'angular', 'vue', 'scala', 'ux', 'react', 'css']"
job_4,17641670.pdf,5,0.1169516958427336,41.18,"['scalability', 'angular', 'vue', 'git', 'javascript', 'java', 'ux', 'react', 'agile', 'css']"
job_5,18159866.pdf,1,0.2000405193283317,41.67,"['database', 'scalability', 'sql', 'html', 'java', 'react', 'mysql']"
job_5,17641670.pdf,2,0.1782575625038863,50.0,"['database', 'scalability', 'sql', 'java', 'react', 'mysql']"
job_5,13405733.pdf,3,0.1689537822886622,50.0,"['scalability', 'html', 'java', 'scala', 'react', 'mysql']"
job_5,16186411.pdf,4,0.1565637004052759,75.0,"['scala', 'react', 'scalability']"
job_5,17111768.pdf,5,0.1537825193423394,50.0,"['scalability', 'html', 'java', 'scala', 'react', 'mysql']"
job_6,18159866.pdf,1,0.1776181344954424,35.29,"['elasticsearch', 'redis', 'angular', 'javascript', 'sql', 'html', 'java', 'mongodb', 'react', 'agile', 'nodejs']"
job_6,13405733.pdf,2,0.1357183513200515,41.18,"['elasticsearch', 'redis', 'angular', 'javascript', 'html', 'java', 'mongodb', 'system design', 'react', 'nodejs']"
job_6,15802627.pdf,3,0.1301392241959474,23.53,"['elasticsearch', 'redis', 'angular', 'javascript', 'sql', 'html', 'java', 'mongodb', 'system design', 'excel', 'react', 'agile', 'nodejs']"
job_6,16899268.pdf,4,0.1278988833441941,23.53,"['elasticsearch', 'redis', 'angular', 'javascript', 'sql', 'html', 'java', 'mongodb', 'system design', 'excel', 'react', 'agile', 'nodejs']"
job_6,14789139.pdf,5,0.1182740079930997,29.41,"['elasticsearch', 'redis', 'angular', 'javascript', 'html', 'java', 'mongodb', 'system design', 'excel', 'react', 'agile', 'nodejs']"
job_7,16186411.pdf,1,0.0637487100740293,70.0,"['react', 'azure', 'nodejs']"
job_7,15297298.pdf,2,0.0624292573980332,40.0,"['javascript', 'html', 'java', 'react', 'azure', 'nodejs']"
job_7,18159866.pdf,3,0.0595932588250674,40.0,"['javascript', 'html', 'java', 'react', 'azure', 'nodejs']"
job_7,18067556.pdf,4,0.0585355720631966,60.0,"['react', 'javascript', 'nodejs', 'java']"
job_7,12763627.pdf,5,0.0521625577984957,60.0,"['excel', 'react', 'azure', 'nodejs']"
job_8,17641670.pdf,1,0.1450992582440914,38.46,"['scalability', 'bash', 'java', 'php', 'hadoop', 'linux', 'ux', 'python']"
job_8,18067556.pdf,2,0.1305606155352603,69.23,"['java', 'hadoop', 'php', 'bash']"
job_8,18159866.pdf,3,0.1175297594996693,38.46,"['scalability', 'bash', 'java', 'php', 'hadoop', 'linux', 'ux', 'python']"
job_8,16533554.pdf,4,0.1093140785981512,23.08,"['rag', 'scalability', 'bash', 'java', 'php', 'hadoop', 'linux', 'scala', 'ux', 'python']"
job_8,17111768.pdf,5,0.0990448659241663,46.15,"['scalability', 'bash', 'java', 'php', 'hadoop', 'scala', 'python']"
job_9,18176523.pdf,1,0.1616213258655212,21.43,"['database', 'rest api', 'go', 'ui', 'python', 'git', 'linux', 'ux', 'jenkins', 'unix', 'excel']"
job_9,18159866.pdf,2,0.1602408349911599,42.86,"['database', 'rest api', 'git', 'linux', 'ux', 'jenkins', 'unix', 'python']"
job_9,17111768.pdf,3,0.1379689381079193,71.43,"['python', 'git', 'rest api', 'jenkins']"
job_9,17641670.pdf,4,0.1378508711677051,42.86,"['database', 'rest api', 'git', 'linux', 'ux', 'jenkins', 'unix', 'python']"
job_9,13405733.pdf,5,0.1250477057366245,64.29,"['rest api', 'linux', 'jenkins', 'ux', 'unix']"
job_10,17111768.pdf,1,0.1566555850295132,77.78,"['version control', 'monitoring']"
job_10,17641670.pdf,2,0.1515039902141005,44.44,"['database', 'monitoring', 'version control', 'oracle', 'sql']"
job_10,18159866.pdf,3,0.1460603895628152,55.56,"['database', 'version control', 'sql', 'monitoring']"
job_10,14789139.pdf,4,0.1427107365773008,66.67,"['version control', 'oracle', 'monitoring']"
job_10,13405733.pdf,5,0.1337009207565657,77.78,"['version control', 'monitoring']"
job_11,13477922.pdf,1,0.1038954065076193,27.27,"['aws', 'tensorflow', 'pytorch', 'numpy', 'deep learning', 'computer vision', 'python', 'machine learning']"
job_11,16186411.pdf,2,0.0823632062668469,27.27,"['aws', 'tensorflow', 'pytorch', 'numpy', 'deep learning', 'computer vision', 'python', 'machine learning']"
job_11,17641670.pdf,3,0.0769370100756211,27.27,"['aws', 'tensorflow', 'pytorch', 'numpy', 'deep learning', 'computer vision', 'python', 'machine learning']"
job_11,16533554.pdf,4,0.0765758368359606,27.27,"['aws', 'tensorflow', 'pytorch', 'numpy', 'deep learning', 'computer vision', 'python', 'machine learning']"
job_11,15802627.pdf,5,0.0663414895915555,27.27,"['aws', 'tensorflow', 'pytorch', 'numpy', 'deep learning', 'computer vision', 'python', 'machine learning']"
job_12,13477922.pdf,1,0.1432225800800686,25.0,"['go', 'java', 'scala', 'python', 'machine learning', 'data analysis']"
job_12,18067556.pdf,2,0.1358124638850586,75.0,"['machine learning', 'java']"
job_12,18159866.pdf,3,0.1190491024540348,50.0,"['python', 'machine learning', 'data analysis', 'java']"
job_12,15802627.pdf,4,0.1099659143853998,50.0,"['python', 'machine learning', 'data analysis', 'java']"
